FlorentineDrawings_IdentifierBB1961,BB_1903_PlateNumber,plate_number_arabic,plate_arabic_w_leading_zeros,BB_1903_number_letter,Verso?,SEQUENCE NUMBER,,,,IIIF_1903plate_URL,Plate AWS 200px Thumbnail,Plate AWS 500px Thumbnail
0001344-Berenson,LV,55,055,1344,,360,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$360i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_055.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_055.jpg
0001298-Berenson,LVI,56,056,1298,,370,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$370i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_056.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_056.jpg
0001279-Berenson,LVII,57,057,1279,,374,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$374i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_057.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_057.jpg
0001287-Berenson,LVIII,58,058,1287,,380,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$380i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_058.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_058.jpg
0001315-Berenson,LIX,59,059,1315,,384,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$384i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_059.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_059.jpg
0000764-Berenson,LX,60,060,764,,394,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$394i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_060.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_060.jpg
0000768-Berenson,LXI,61,061,768,,406,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$406i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_061.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_061.jpg
0000769-Berenson,LXII,62,062,769,,412,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$412i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_062.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_062.jpg
0000640-Berenson,LXIII,63,063,640,,416,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$416i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_063.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_063.jpg
0000032-Berenson,LXIV,64,064,32,,426,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$426i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_064.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_064.jpg
0000192-Berenson,LXV,65,065,192,,430,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$430i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_065.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_065.jpg
0000194-Berenson,LXV,65,065,194,,430,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$430i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_065.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_065.jpg
0000195-Berenson,LXV,65,065,195,,430,,,,http://iiif.lib.harvard.edu/manifests/view/drs:423346789$430i,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates200/Plate_065.jpg,https://s3-eu-west-1.amazonaws.com/florentinedrawings/plates500/Plate_065.jpg
